currency, time
2827.26,00:06
2825.46,00:22
2838.35,00:37
2826.02,00:52
2830.8,01:07
2840.66,01:22
2872.53,01:37
2882.12,01:52
2895.23,02:07
2851.28,02:22
2817.79,02:38
2808.25,02:53
2815.4,03:08
2765.65,03:23
2745.71,03:38
2740.35,03:53
2710.66,04:08
2742.19,04:23
2705.39,04:39
2713.08,04:54
2688.23,05:09
2663.22,05:24
2694.23,05:39
2681.49,05:54
2680.07,06:09
2678.58,06:24
2682.09,06:40
2696.0,06:55
2702.87,07:10
2690.95,07:25
2691.99,07:40
2721.67,07:55
2733.29,08:10
2727.63,08:25
2734.7,08:40
2751.28,08:56
2752.34,09:11
2739.41,09:26
2757.64,09:41
2750.46,09:56
2713.21,10:11
2741.52,10:26
2774.62,10:42
2777.93,10:57
2785.55,11:12
2796.71,11:27
2795.76,11:42
2795.2,11:57
2788.01,12:12
2799.67,12:27
2792.51,12:42
2788.79,12:58
2798.23,13:13
2812.63,13:28
2817.43,13:43
2825.45,13:58
2837.5,14:13
2815.89,14:28
2819.85,14:43
2805.86,14:59
2811.22,15:14
2843.83,15:29
2860.84,15:44
2841.58,15:59
2852.38,16:14
2868.56,16:29
2857.19,16:44
2850.03,17:00
2842.09,17:15
2805.18,17:30
2800.04,17:45
2810.83,18:00
2782.83,18:15
2792.74,18:30
2768.09,18:45
2770.36,19:01
2777.53,19:16
2791.75,19:31
2787.51,19:46
2799.37,20:01
2792.03,20:16
2788.66,20:31
2787.21,20:46
2791.99,21:02
2777.56,21:17
2760.01,21:32
2747.32,21:47
2759.78,22:02
2760.12,22:17
2751.2,22:32
2753.39,22:47
2727.4,23:03
2714.55,23:18
2746.85,23:33
2782.95,23:48
