currency, time
2647.02,09:55
2647.02,09:55
2647.02,09:56
2646.07,10:12
2627.35,10:27
2611.89,10:42
2596.18,10:57
2587.13,11:12
2587.42,11:27
2553.44,11:42
2556.56,11:57
2496.34,12:13
2495.83,12:28
2423.49,12:43
2450.84,12:58
2471.77,13:13
2449.37,13:28
2434.26,13:43
2439.83,13:58
2422.99,14:13
2448.65,14:29
2422.3,14:44
2435.1,14:59
2493.96,15:14
2538.56,15:29
2562.43,15:44
2545.57,15:59
2568.72,16:14
2620.08,16:29
2631.89,16:45
2622.57,17:00
2574.3,17:15
2602.05,17:30
2591.22,17:45
2601.82,18:00
2594.08,18:15
2584.77,18:31
2569.23,18:46
2588.82,19:01
2588.9,19:16
2566.07,19:31
2557.62,19:46
2581.41,20:01
2588.06,20:16
2598.86,20:31
2606.43,20:47
2591.08,21:02
2569.19,21:17
2570.83,21:32
2578.87,21:47
2533.88,22:02
2538.94,22:17
2558.42,22:32
2552.04,22:48
2559.98,23:03
2553.66,23:18
2569.83,23:32
2585.85,23:47
