currency, time
2827.31,00:12
2808.01,00:27
2751.2,00:43
2794.83,00:58
2821.56,01:13
2778.04,01:28
2783.98,01:43
2767.58,01:58
2814.63,02:13
2832.59,02:28
2863.91,02:43
2906.87,02:59
2903.45,03:14
2905.05,03:29
2927.74,03:44
2897.48,03:59
2899.82,04:14
2870.3,04:29
2870.9,04:44
2859.14,04:59
2847.6,05:15
2798.08,05:30
2805.33,05:45
2807.52,06:00
2798.51,06:15
2779.36,06:30
2739.96,06:45
2782.79,07:00
2786.68,07:16
2745.71,07:31
2784.88,07:46
2772.52,08:01
2712.52,08:16
2736.79,08:31
2749.29,08:46
2765.65,09:01
2765.04,09:16
2714.63,09:32
2700.73,09:47
2709.47,10:02
2664.04,10:17
2702.37,10:32
2677.35,10:47
2702.07,11:02
2731.68,11:17
2752.66,11:32
2782.87,11:48
2771.52,12:03
2756.88,12:18
2761.71,12:33
2759.1,12:48
2722.18,13:03
2687.63,13:18
2674.55,13:33
2694.25,13:48
2714.58,14:04
2739.47,14:19
2711.56,14:34
2696.49,14:49
2651.2,15:04
2691.26,15:19
2707.98,15:34
2719.86,15:49
2738.87,16:04
2679.74,16:20
2498.71,16:35
2487.68,16:50
2506.21,17:05
2546.16,17:20
2521.3,17:35
2484.72,17:50
2378.73,18:05
2498.91,18:09
2509.37,18:44
2476.36,18:59
2462.6,19:14
2486.34,19:29
2456.86,19:44
2482.37,19:59
2469.46,20:14
2400.95,20:29
2447.67,20:44
2466.33,21:00
2455.44,21:15
2413.64,21:30
2352.47,21:45
2358.57,22:00
2342.89,22:15
2332.9,22:30
2330.92,22:46
2269.83,23:01
2206.67,23:16
2258.29,23:31
2354.05,23:46
