currency, time
2617.04,00:02
2642.91,00:17
2675.55,00:32
2696.52,00:48
2722.84,01:03
2696.64,01:18
2702.47,01:33
2694.86,01:48
2704.1,02:03
2701.07,02:18
2673.15,02:33
2671.4,02:48
2685.35,03:04
2713.75,03:19
2719.82,03:34
2757.16,03:49
2757.86,04:04
2783.19,04:19
2823.32,04:34
2818.92,04:49
2812.76,05:04
2807.61,05:20
2825.25,05:35
2835.82,05:50
2851.56,06:05
2806.08,06:20
2798.5,06:35
2805.87,06:50
2825.87,07:05
2819.59,07:20
2828.91,07:36
2828.86,07:51
2809.23,08:06
2850.95,08:21
2888.94,08:36
2889.3,08:51
2883.89,09:06
2869.69,09:21
2871.4,09:36
2881.08,09:42
2893.12,09:57
2875.52,10:12
2840.4,10:28
2877.13,10:43
2865.89,10:58
2867.14,11:13
2864.55,11:27
2857.3,11:43
2865.96,11:58
2836.93,12:13
2818.16,12:28
2770.15,16:35
2770.15,16:36
2776.42,16:51
2760.66,17:06
2745.14,17:21
2727.54,17:36
2748.35,17:51
2754.73,18:07
2779.69,18:22
2772.33,18:37
2734.16,18:52
2702.23,19:07
2698.13,19:22
2714.61,19:37
2726.08,19:52
2746.47,20:08
2736.55,20:23
2746.7,20:38
2739.48,20:53
2737.69,21:08
2723.58,21:23
2704.21,21:38
2723.35,21:54
2741.43,22:05
2748.1,22:21
2786.2,22:36
2793.17,22:51
2803.16,23:06
2809.27,23:21
2796.74,23:36
2804.82,23:51
