currency, time
4041.14,00:04
4080.21,00:19
4040.36,00:34
4024.77,00:49
4070.18,01:04
3997.37,01:19
3952.52,01:34
3980.58,01:49
3978.14,02:04
3945.14,02:20
4044.17,02:35
4002.92,02:50
3910.8,03:05
3883.24,03:20
3902.4,03:35
3913.2,03:50
3917.7,04:05
3915.98,04:20
3915.45,04:35
3880.91,04:50
3848.05,05:05
3847.88,05:21
3826.76,05:36
3873.69,05:51
3869.5,06:06
3903.83,06:21
3906.85,06:36
3917.98,06:51
3932.75,07:06
3932.62,07:21
3898.42,07:36
3883.15,07:52
3916.47,08:07
3930.82,08:22
3952.82,08:37
3991.29,08:52
3976.91,09:07
3971.82,09:22
3957.07,09:37
3942.1,09:52
3986.98,10:07
3957.28,10:23
3941.26,10:38
3950.94,10:53
3949.73,11:08
3969.24,11:23
3953.29,11:38
3991.91,11:53
4036.81,12:08
4040.37,12:23
4071.27,12:38
4054.45,12:54
4067.13,13:09
4058.85,13:24
4065.04,13:26
4047.59,13:41
4001.16,13:56
3983.62,14:11
3962.04,14:26
3946.54,14:41
3968.72,14:56
4000.37,15:11
3944.96,15:27
3935.75,15:42
3977.97,15:57
3978.67,16:12
3986.19,16:27
3968.1,16:42
4000.84,16:57
3994.45,17:12
4020.48,17:27
4035.61,17:42
4027.93,17:57
4064.03,18:13
4067.42,18:28
4042.04,18:43
4019.31,18:58
4043.21,19:13
4043.76,19:28
4052.14,19:43
4050.58,19:58
4058.48,20:13
4076.56,20:28
4088.55,20:43
4062.7,20:59
4077.23,21:14
4073.23,21:29
4064.11,21:44
4058.6,21:59
4061.12,22:14
4093.42,22:29
4117.75,22:44
4131.51,22:59
4136.96,23:14
4140.39,23:30
4132.36,23:45
