currency, time
3515.99,00:11
3593.07,00:26
3539.31,00:41
3546.09,00:56
3547.37,01:11
3549.94,01:26
3570.83,01:42
3588.26,01:57
3573.6,02:12
3520.58,02:27
3546.57,02:42
3508.16,02:57
3448.65,03:12
3418.63,03:27
3422.87,03:42
3421.19,03:58
3434.39,04:13
3454.97,04:28
3399.16,04:43
3383.92,04:58
3383.81,05:13
3297.59,05:28
3299.07,05:43
3271.06,05:59
3174.81,06:14
3278.96,06:29
3301.55,06:44
3305.76,06:59
3314.67,07:14
3278.1,07:29
3288.54,07:44
3268.6,07:59
3466.66,08:15
3465.1,08:30
3419.56,08:45
3400.87,09:00
3436.52,09:15
3480.18,09:30
3496.64,09:45
3529.29,10:00
3518.01,10:16
3508.83,10:31
3559.68,10:46
3560.31,11:01
3541.13,11:16
3506.2,11:31
3517.41,11:46
3530.56,12:01
3522.98,12:16
3484.54,12:32
3488.13,12:47
3450.73,13:02
3464.61,13:17
3517.16,13:32
3527.18,13:47
3524.67,14:02
3535.31,14:17
3516.41,14:33
3475.17,14:48
3493.08,15:03
3471.23,15:18
3441.94,15:33
3461.05,15:48
3464.22,16:04
3407.24,16:19
3370.66,16:35
3402.04,16:50
3410.07,17:05
3373.78,17:20
3356.9,17:35
3319.05,17:50
3298.73,18:05
3275.47,18:20
3294.98,18:35
3254.55,18:51
3215.9,19:06
3175.69,19:21
3166.24,19:36
3223.58,19:51
3201.4,20:06
3271.22,20:21
3295.17,20:36
3359.82,20:52
3411.92,21:07
3393.65,21:22
3399.75,21:37
3396.93,21:52
3397.5,22:07
3408.27,22:22
3427.88,22:38
3459.02,22:53
3439.83,23:08
3383.64,23:23
3390.39,23:38
3325.71,23:53
