price, time
627.51,00:10
627.51,00:25
627.51,00:40
628.06,00:55
628.06,01:10
628.06,01:25
628.06,01:40
629.05,01:55
629.5,02:10
629.02,02:25
629.02,02:40
629.02,02:55
629.02,03:10
629.02,03:25
629.02,03:40
629.02,03:55
629.02,04:11
629.02,04:26
629.02,04:41
629.02,04:56
629.02,05:11
629.02,05:26
629.02,05:41
629.02,05:56
629.02,06:11
629.02,06:26
