currency, time
2787.22,00:03
2776.66,00:18
2784.73,00:33
2776.52,00:48
2756.0,01:03
2755.86,01:19
2741.87,01:34
2747.06,01:49
2742.92,02:04
2733.57,02:19
2762.66,02:34
2731.77,02:49
2709.0,03:04
2686.98,03:20
2711.5,03:35
2712.02,03:50
2707.13,04:05
2728.64,04:20
2723.02,04:35
2726.58,04:50
2731.32,05:05
2717.5,05:21
2713.6,05:36
2722.17,05:51
2723.02,06:06
2705.08,06:21
2681.7,06:36
2662.07,06:51
2670.31,07:07
2679.08,07:22
2668.21,07:37
2593.13,07:52
2592.56,08:07
2561.52,08:22
2535.35,08:37
2573.76,08:52
2547.79,09:08
2584.88,09:23
2588.91,09:38
2562.91,09:53
2580.05,10:08
2579.21,10:23
2563.61,10:38
2558.99,10:53
2495.82,11:09
2477.93,11:24
2467.22,11:39
2501.31,11:54
2502.01,12:09
2502.01,12:24
2504.7,12:39
2508.82,12:54
2506.74,13:10
2513.55,13:25
2495.28,13:40
2449.29,13:55
2471.92,14:10
2555.77,14:25
