currency, time
2093.73,00:01
2131.8,00:16
2139.58,00:31
2090.46,00:46
2058.97,01:01
2092.82,01:16
2110.28,01:31
2097.36,01:47
2120.16,02:02
2160.0,02:17
2188.85,02:32
2156.87,02:47
2141.39,03:02
2113.87,03:17
2109.48,03:32
2142.96,03:47
2141.86,04:03
2108.4,04:18
2137.9,04:33
2128.9,04:48
2162.13,05:03
2182.53,05:18
2191.44,05:33
2154.29,05:48
2146.67,06:03
2143.44,06:19
2139.39,06:34
2103.94,06:49
2120.96,07:04
2151.89,07:19
2134.0,07:34
2125.17,07:49
2138.59,08:04
2136.62,08:19
2152.31,08:35
2152.31,08:50
2172.58,09:05
2253.36,09:20
2288.2,09:22
2318.02,10:10
2276.58,10:18
2280.26,10:47
2296.33,11:01
2274.93,11:18
2267.48,11:33
2264.97,11:49
2247.14,12:04
2261.81,12:19
2268.53,12:34
2247.71,12:49
2264.52,13:04
2310.97,13:19
2331.4,13:34
2408.53,13:49
2414.54,13:56
2370.93,14:12
2379.29,14:27
2446.98,14:42
2442.33,14:57
2402.85,15:12
2368.11,15:27
2404.01,15:42
2390.15,15:58
2406.17,16:13
2445.57,16:28
2410.59,16:43
2417.01,16:58
2441.13,17:13
2467.33,17:28
2507.17,17:43
2485.62,17:58
2502.13,18:14
2443.51,18:29
2457.53,18:44
2462.92,18:59
2452.03,19:14
2491.9,19:29
2490.24,19:44
2533.67,19:59
2541.14,20:15
2566.05,20:30
2581.26,20:45
2566.06,21:00
2583.4,21:15
2547.21,21:30
2550.15,21:45
2712.66,22:00
2669.31,22:16
2630.25,22:26
