currency, time
3902.28,00:10
3920.35,00:25
3899.11,00:40
3902.36,00:55
3912.33,01:10
3907.84,01:26
3927.58,01:41
3921.65,01:56
3911.4,02:11
3911.09,02:26
3907.92,02:41
3932.38,02:56
3914.6,03:11
3914.17,03:26
3919.86,03:41
3949.81,03:56
3956.02,04:11
3962.4,04:26
3949.53,04:42
3970.35,04:57
3999.38,05:12
4016.58,05:27
4051.62,05:42
4070.33,05:57
4063.27,06:12
4057.11,06:27
4071.59,06:42
4087.04,06:57
4131.67,07:12
4126.0,07:27
4106.3,07:43
4117.96,07:58
4132.38,08:13
4133.55,08:28
4111.94,08:43
4116.39,08:58
4126.17,09:05
4116.34,09:21
4121.26,09:36
4121.26,09:38
4122.22,09:53
4098.76,10:08
4082.9,10:23
4105.86,10:38
4129.69,10:47
4146.31,11:02
4149.93,11:17
4121.96,11:33
4100.66,11:48
4128.19,12:03
4101.17,12:18
4107.79,12:33
4093.54,12:48
4043.85,13:03
4046.39,13:18
4020.79,13:33
4080.63,13:48
4080.63,13:48
4088.86,13:48
4088.86,13:49
4088.86,13:49
4095.41,13:59
4101.47,14:14
4115.55,14:29
4136.23,14:44
4125.07,14:59
4153.01,15:14
4138.7,15:30
4151.86,15:45
4132.16,16:01
4126.02,16:16
4111.82,16:31
4100.84,16:46
4071.91,17:01
4081.55,17:16
4117.97,17:31
4141.61,17:46
4182.6,18:01
4210.42,18:16
4176.68,18:32
4201.74,18:47
4180.37,19:02
4182.87,19:17
4182.55,19:32
4164.59,19:47
4149.85,20:02
4143.29,20:17
4145.39,20:32
4142.63,20:47
4142.57,21:02
4158.97,21:18
4129.0,21:33
4078.39,21:48
4047.84,22:03
3893.43,22:18
3939.38,22:33
3921.24,22:48
3915.74,23:03
3988.49,23:18
3989.21,23:33
4004.57,23:49
