currency, time
2366.29,00:12
2337.79,00:27
2338.89,00:42
2331.83,00:57
2360.78,01:12
2364.22,01:27
2332.83,01:43
2309.72,01:58
2278.82,02:13
2306.01,02:28
2330.92,02:43
2358.39,02:58
2365.25,03:13
2373.77,03:28
2368.48,03:43
2357.53,03:59
2349.46,04:14
2321.23,04:29
2304.22,04:44
2291.48,04:59
2294.75,05:14
2319.42,05:29
2325.15,05:44
2325.25,05:59
2304.79,06:15
2287.85,06:30
2287.16,06:45
2290.56,07:00
2241.0,07:15
2224.42,07:30
2241.22,07:45
2247.65,08:00
2239.95,08:16
2218.28,08:31
2213.39,08:46
2207.5,09:01
2214.74,09:16
2178.62,09:31
2177.08,09:46
2147.52,10:01
2131.12,10:16
2124.9,10:32
2089.3,10:47
2039.98,11:02
2030.11,11:17
2109.65,11:30
2149.77,12:42
2156.55,12:57
2141.36,13:12
2109.29,13:27
2130.82,13:42
2125.49,13:57
2094.51,14:12
2091.47,14:27
2031.55,14:42
1945.93,14:58
1906.8,15:13
1927.45,15:28
1909.34,15:43
1950.9,15:58
1953.39,16:13
1930.44,16:28
1954.38,16:43
1994.38,16:58
1953.79,17:14
1940.68,17:29
1937.69,17:44
1915.63,17:59
1866.85,18:14
1824.39,18:29
1758.56,18:44
1844.08,18:59
1987.63,19:15
1943.8,19:30
1928.77,19:45
1926.54,20:00
1874.64,20:15
1927.52,20:30
1916.57,20:45
1903.16,21:01
1903.85,21:16
2006.0,21:31
1977.45,21:47
1963.77,21:50
2036.42,22:15
2031.89,22:30
2066.16,22:45
2088.66,23:00
2095.28,23:15
2133.61,23:31
2090.75,23:46
