currency, time
3404.62,00:05
3412.1,00:20
3419.22,00:35
3423.44,00:50
3383.1,01:05
3349.49,01:20
3384.72,01:35
3366.04,01:50
3381.81,02:05
3433.54,02:21
3421.22,02:36
3398.53,02:51
3356.27,03:06
3288.77,03:21
3233.82,03:36
3204.13,03:51
3217.43,04:06
3178.8,04:21
3187.03,04:37
3203.52,04:52
3124.08,05:07
3110.52,05:22
3151.79,05:37
3115.17,05:52
3098.78,06:07
3053.06,06:22
2994.81,06:37
2933.02,06:53
2959.44,07:08
3001.75,07:23
2997.64,07:38
2960.54,07:53
2974.37,08:08
3015.05,08:23
2996.59,08:38
2955.38,08:53
2956.34,09:09
2933.55,09:24
2968.68,09:39
2997.98,09:54
2990.71,10:09
2947.36,10:24
2968.01,10:39
2996.86,10:54
3009.0,11:09
2989.36,11:25
2967.92,11:40
2962.71,11:55
2972.48,12:10
2932.39,12:25
2892.74,12:40
2860.99,12:55
2852.33,13:10
2755.47,13:25
2648.66,13:41
2672.01,13:56
2768.68,14:11
2719.8,14:26
2627.62,14:41
2498.02,14:56
2144.65,15:11
2199.92,15:26
2351.54,15:41
2512.94,15:57
2533.53,16:12
2558.27,16:27
2490.08,16:43
2606.33,16:58
2683.77,17:13
2846.18,17:28
2850.96,17:43
2850.96,17:59
2817.05,18:14
2703.17,18:29
2810.3,18:44
2957.85,18:59
2987.12,19:14
2898.39,19:29
2819.97,19:44
2790.4,19:59
2638.61,20:15
2629.77,20:30
2594.81,20:45
2612.68,21:00
2638.31,21:15
2668.13,21:30
2626.91,21:45
2629.93,22:00
2710.82,22:16
2688.89,22:31
2631.53,22:46
2563.33,23:01
2551.08,23:16
2486.19,23:31
2576.63,23:46
