currency, time
3812.38,00:00
3812.21,00:15
3831.09,00:30
3778.38,00:45
3787.32,01:00
3747.86,01:15
3720.19,01:30
3670.89,01:46
3659.92,02:01
3722.41,02:16
3797.33,02:31
3780.42,02:46
3770.32,03:01
3824.29,03:16
3830.2,03:31
3825.18,03:46
3853.55,04:02
3834.67,04:17
3835.15,04:32
3826.66,04:47
3835.45,05:02
3829.09,05:17
3793.96,05:32
3804.9,05:47
3828.69,06:02
3827.72,06:18
3822.73,06:33
3827.52,06:48
3811.99,07:03
3806.72,07:18
3805.98,07:33
3800.08,07:48
3797.92,08:03
3850.78,08:18
3888.17,08:34
3879.53,08:49
3861.11,09:04
3852.95,09:19
3848.64,09:34
3839.2,09:49
3865.46,10:04
3838.25,10:19
3826.92,10:35
3823.4,10:50
3817.38,11:05
3823.28,11:20
3822.52,11:35
3831.16,11:50
3830.06,12:05
3840.93,12:20
3841.7,12:35
3875.34,12:51
3855.88,13:06
3844.43,13:21
3834.23,13:36
3818.98,13:51
3803.15,14:06
3794.96,14:21
3788.07,14:36
3743.07,14:51
3732.66,15:07
3726.96,15:22
3708.9,15:37
3736.84,15:52
3724.76,16:07
3729.57,16:22
3740.41,16:37
3703.39,16:52
3696.16,17:08
3668.27,17:23
3649.6,17:38
3668.33,17:53
3630.25,18:08
3665.16,18:23
3628.15,18:38
3583.9,18:53
3577.55,19:08
3497.91,19:24
3530.9,19:39
3601.52,19:54
3613.06,20:09
3624.77,20:24
3547.45,20:39
3584.52,20:54
3496.76,21:09
3475.92,21:25
3504.27,21:40
3412.8,21:55
3447.59,22:10
3456.6,22:25
3433.33,22:40
3371.75,22:55
3398.14,23:10
3374.39,23:25
3439.15,23:41
3491.05,23:56
