currency, time
2594.58,00:01
2660.37,00:16
2652.79,00:32
2678.08,00:47
2682.29,01:02
2632.78,01:17
2591.39,01:32
2588.83,01:47
2490.75,02:02
2539.38,02:17
2472.39,02:32
2323.29,02:48
2212.01,03:03
2229.76,03:18
2360.89,03:33
2335.64,03:48
2363.31,04:03
2435.76,04:18
2452.34,04:33
2423.35,04:48
2475.91,05:04
2495.12,05:19
2483.04,05:34
2444.67,05:49
2473.99,06:04
2570.94,06:19
2592.99,06:34
2555.01,06:49
2569.35,07:05
2642.28,07:20
2609.41,07:35
2661.7,07:50
2677.06,08:05
2623.02,08:20
2622.66,08:35
2684.11,08:50
2697.19,09:05
2704.65,09:20
2774.54,09:36
2758.83,09:51
2727.4,10:06
2708.94,10:21
2701.69,10:36
2690.76,10:51
2706.08,11:06
2664.46,11:21
2602.98,11:37
2664.52,11:52
2683.26,12:07
2678.86,12:22
2672.4,12:37
2712.71,12:52
2716.72,13:07
2712.35,13:22
2689.04,13:37
2758.32,13:53
2760.65,14:08
2819.17,14:23
2842.94,14:38
2891.68,14:53
2914.39,15:08
2943.22,15:23
2956.7,15:38
2918.12,15:53
2938.01,16:09
2904.56,16:24
2922.55,16:39
2938.22,16:54
2925.91,17:09
2951.37,17:24
2919.84,17:39
2912.64,17:54
2807.91,18:10
2699.07,18:25
2706.54,18:40
2643.68,18:55
2718.05,19:10
2704.14,19:25
2721.17,19:40
2774.2,19:55
2756.04,20:10
2748.4,20:26
2785.54,20:41
2811.59,20:56
2811.98,21:11
2805.0,21:26
2811.99,21:41
2800.68,21:56
2808.09,22:11
2829.54,22:27
2807.58,22:42
2773.69,22:57
2771.06,23:12
2811.67,23:27
2830.79,23:42
2836.34,23:57
