currency, time
4116.3,00:00
4125.64,00:15
4112.15,00:30
4124.34,00:45
4126.82,01:00
4130.38,01:15
4157.79,01:30
4154.83,01:45
4182.79,02:01
4197.22,02:16
4187.07,02:31
4182.9,02:46
4202.7,03:01
4189.28,03:16
4170.94,03:31
4166.05,03:46
4174.96,04:01
4179.42,04:16
4228.88,04:31
4241.73,04:47
4247.19,05:02
4264.27,05:17
4263.44,05:32
4278.17,05:47
4322.99,06:02
4315.15,06:17
4307.15,06:32
4276.29,06:47
4280.72,07:02
4311.2,07:17
4313.78,07:32
4306.6,07:48
4306.86,08:03
4315.48,08:18
4298.17,08:33
4303.23,08:48
4290.41,09:03
4294.78,09:18
4309.24,09:33
4309.24,09:36
4279.85,09:51
4298.76,10:06
4284.65,10:21
4267.08,10:36
4273.37,10:51
4295.39,11:06
4306.93,11:21
4303.26,11:36
4320.87,11:51
4299.94,12:07
4277.5,12:22
4272.43,12:37
4243.45,12:52
4251.81,13:07
4256.96,13:22
4258.1,13:37
4263.42,13:52
4281.0,14:07
4277.73,14:22
4280.37,14:38
4300.96,14:53
4298.47,15:08
4280.23,15:23
4268.93,15:38
4319.22,15:53
4308.56,16:08
4308.49,16:23
4355.09,16:38
4310.5,16:53
4310.58,17:08
4261.9,17:24
4219.91,17:39
4209.29,17:54
4203.97,18:09
4137.25,18:24
4138.51,18:39
4131.82,18:54
4193.37,19:09
4160.38,19:24
4161.75,19:39
4155.32,19:55
4169.31,20:10
4085.66,20:25
4041.58,20:40
4044.9,20:55
4010.17,21:10
4014.27,21:25
4048.57,21:40
4062.5,21:55
4098.64,22:10
4069.99,22:25
4093.13,22:41
4109.4,22:56
4100.44,23:11
4133.74,23:26
4137.64,23:41
4110.77,23:56
