currency, time
2366.72,00:01
2359.1,00:16
2371.55,00:31
2421.26,00:46
2384.88,01:02
2408.47,01:17
2432.43,01:32
2413.29,01:47
2427.76,02:02
2416.32,02:17
2411.73,02:32
2422.73,02:47
2455.94,03:02
2437.69,03:18
2473.15,03:33
2477.12,03:48
2454.11,04:03
2470.73,04:18
2474.88,04:33
2426.89,04:48
2408.74,05:03
2396.77,05:18
2359.29,05:34
2324.07,05:49
2339.54,06:04
2344.85,06:19
2266.83,06:34
2254.68,06:49
2265.47,07:04
2230.85,07:19
2199.66,07:34
2208.82,07:50
2239.57,08:05
2215.97,08:20
2197.48,08:35
2219.75,08:50
2242.69,09:05
2222.31,09:20
2235.72,09:35
2234.9,09:50
2249.41,10:06
2323.75,10:21
2335.9,10:36
2356.32,10:51
2357.09,11:06
2316.16,11:21
2358.51,11:36
2384.07,11:51
2357.59,12:06
2349.8,12:22
2363.78,12:37
2465.19,12:52
2476.96,13:07
2439.76,13:22
2431.09,13:37
2413.27,13:52
2441.9,14:07
2402.76,14:22
2434.41,14:38
2420.6,14:53
2404.18,15:08
2428.58,15:23
2450.08,15:38
2461.38,15:53
2441.16,16:08
2416.69,16:23
2387.57,16:39
2350.23,16:54
2373.86,17:09
2315.76,17:24
2324.54,17:39
2373.07,17:54
2353.48,18:09
2361.13,18:24
2376.56,18:39
2369.84,18:55
2366.04,19:10
2339.33,19:25
2309.59,19:40
2296.72,19:55
2287.72,20:10
2293.36,20:25
2291.49,20:40
2292.18,20:55
2300.14,21:11
2300.59,21:26
2311.89,21:41
2306.8,21:56
2284.7,22:11
2330.1,22:26
2335.19,22:41
2350.56,22:56
2353.57,23:11
2362.66,23:27
2359.59,23:42
2362.74,23:57
